WeekEnding,Country,AgeGroup,CardioAdmissions,Average20182019,PercentVariation
20210214,S92000003,65 and over,138,220,-37.3
20210214,S92000003,Under 65,148,209,-29.2
20210221,S92000003,65 and over,174,229.5,-24.2
20210221,S92000003,Under 65,167,234.5,-28.8
20210228,S92000003,65 and over,143,206.5,-30.8
20210228,S92000003,Under 65,182,216,-15.7
20210307,S92000003,65 and over,149,225,-33.8
20210307,S92000003,Under 65,164,225.5,-27.3
20210314,S92000003,65 and over,160,226.5,-29.4
20210314,S92000003,Under 65,176,232.5,-24.3
20210321,S92000003,65 and over,156,212.5,-26.6
20210321,S92000003,Under 65,182,225.5,-19.3
20210328,S92000003,65 and over,146,227.5,-35.8
20210328,S92000003,Under 65,192,207,-7.2
20210404,S92000003,65 and over,173,199.5,-13.3
20210404,S92000003,Under 65,203,212.5,-4.5
20210411,S92000003,65 and over,169,221.5,-23.7
20210411,S92000003,Under 65,183,211,-13.3
20210418,S92000003,65 and over,163,225.5,-27.7
20210418,S92000003,Under 65,189,220.5,-14.3
20210425,S92000003,65 and over,140,205,-31.7
20210425,S92000003,Under 65,206,232.5,-11.4
20210502,S92000003,65 and over,160,226,-29.2
20210502,S92000003,Under 65,198,213.5,-7.3
20210509,S92000003,65 and over,196,190,3.2
20210509,S92000003,Under 65,196,205,-4.4
20210516,S92000003,65 and over,225,207,8.7
20210516,S92000003,Under 65,249,238,4.6
20210523,S92000003,65 and over,191,195.5,-2.3
20210523,S92000003,Under 65,226,211,7.1
20210530,S92000003,65 and over,233,200,16.5
20210530,S92000003,Under 65,233,215.5,8.1
20210606,S92000003,65 and over,180,192.5,-6.5
20210606,S92000003,Under 65,230,206,11.7
20210613,S92000003,65 and over,195,185,5.4
20210613,S92000003,Under 65,209,212.5,-1.6
20210620,S92000003,65 and over,208,199,4.5
20210620,S92000003,Under 65,212,203.5,4.2
20210627,S92000003,65 and over,213,186,14.5
20210627,S92000003,Under 65,216,182,18.7
20210704,S92000003,65 and over,196,198,-1
20210704,S92000003,Under 65,190,178,6.7
20210711,S92000003,65 and over,224,200,12
20210711,S92000003,Under 65,240,201,19.4
20210718,S92000003,65 and over,187,198.5,-5.8
20210718,S92000003,Under 65,189,194,-2.6
20210725,S92000003,65 and over,188,194.5,-3.3
20210725,S92000003,Under 65,186,202,-7.9
20210801,S92000003,65 and over,159,200.5,-20.7
20210801,S92000003,Under 65,181,200.5,-9.7
20210808,S92000003,65 and over,207,200.5,3.2
20210808,S92000003,Under 65,196,187.5,4.5
20210815,S92000003,65 and over,243,207.5,17.1
20210815,S92000003,Under 65,236,210,12.4
20210822,S92000003,65 and over,197,215.5,-8.6
20210822,S92000003,Under 65,209,253,-17.4
20210829,S92000003,65 and over,200,234,-14.5
20210829,S92000003,Under 65,203,221.5,-8.4
20210905,S92000003,65 and over,200,204.5,-2.2
20210905,S92000003,Under 65,193,197,-2
20210912,S92000003,65 and over,210,193,8.8
20210912,S92000003,Under 65,216,225.5,-4.2
20210919,S92000003,65 and over,180,200.5,-10.2
20210919,S92000003,Under 65,218,229,-4.8
20210926,S92000003,65 and over,175,228,-23.2
20210926,S92000003,Under 65,222,240,-7.5
20211003,S92000003,65 and over,180,198,-9.1
20211003,S92000003,Under 65,201,218,-7.8
20211010,S92000003,65 and over,175,212.5,-17.6
20211010,S92000003,Under 65,221,210.5,5
20211017,S92000003,65 and over,214,222,-3.6
20211017,S92000003,Under 65,201,208,-3.4
20211024,S92000003,65 and over,206,209.5,-1.7
20211024,S92000003,Under 65,226,201.5,12.2
20211031,S92000003,65 and over,202,199.5,1.3
20211031,S92000003,Under 65,206,208,-1
20211107,S92000003,65 and over,173,204.5,-15.4
20211107,S92000003,Under 65,193,214.5,-10
20211114,S92000003,65 and over,202,230.5,-12.4
20211114,S92000003,Under 65,213,240,-11.2
20211121,S92000003,65 and over,184,187.5,-1.9
20211121,S92000003,Under 65,231,230.5,0.2
20211128,S92000003,65 and over,181,202.5,-10.6
20211128,S92000003,Under 65,249,203.5,22.4
20211205,S92000003,65 and over,199,216.5,-8.1
20211205,S92000003,Under 65,194,218,-11
20211212,S92000003,65 and over,193,219.5,-12.1
20211212,S92000003,Under 65,226,208,8.7
20211219,S92000003,65 and over,157,222,-29.3
20211219,S92000003,Under 65,212,215.5,-1.6
20211226,S92000003,65 and over,177,215.5,-17.9
20211226,S92000003,Under 65,179,200.5,-10.7
20220102,S92000003,65 and over,194,234.5,-17.3
20220102,S92000003,Under 65,210,182,15.4
20220109,S92000003,65 and over,182,232.5,-21.7
20220109,S92000003,Under 65,238,210,13.3
20220116,S92000003,65 and over,175,223,-21.5
20220116,S92000003,Under 65,212,224,-5.4
20220123,S92000003,65 and over,174,204,-14.7
20220123,S92000003,Under 65,215,220.5,-2.5
20220130,S92000003,65 and over,174,210.5,-17.3
20220130,S92000003,Under 65,223,224.5,-0.7
20220206,S92000003,65 and over,184,237.5,-22.5
