WeekEnding,Country,SIMDQuintile,CardioAdmissions,Average20182019,PercentVariation
20220724,S92000003,4,71,70.5,0.7
20220724,S92000003,5,43,55.5,-22.5
20220731,S92000003,1,104,96.5,7.8
20220731,S92000003,2,64,84.5,-24.3
20220731,S92000003,3,79,90.5,-12.7
20220731,S92000003,4,80,76.5,4.6
20220731,S92000003,5,50,52,-3.8
20220807,S92000003,1,90,96,-6.2
20220807,S92000003,2,73,85,-14.1
20220807,S92000003,3,96,80,20
20220807,S92000003,4,62,79,-21.5
20220807,S92000003,5,52,44.5,16.9
20220814,S92000003,1,92,101,-8.9
20220814,S92000003,2,80,79,1.3
20220814,S92000003,3,99,83.5,18.6
20220814,S92000003,4,77,77.5,-0.6
20220814,S92000003,5,54,63,-14.3
20220821,S92000003,1,86,130.5,-34.1
20220821,S92000003,2,83,87.5,-5.1
20220821,S92000003,3,90,87.5,2.9
20220821,S92000003,4,82,87,-5.7
20220821,S92000003,5,58,67.5,-14.1
20220828,S92000003,1,90,108,-16.7
20220828,S92000003,2,82,96,-14.6
20220828,S92000003,3,83,96,-13.5
20220828,S92000003,4,75,87,-13.8
20220828,S92000003,5,59,65,-9.2
20220904,S92000003,1,93,98.5,-5.6
20220904,S92000003,2,95,81,17.3
20220904,S92000003,3,94,77,22.1
20220904,S92000003,4,90,82.5,9.1
20220904,S92000003,5,59,59,-0
20220911,S92000003,1,101,100,1
20220911,S92000003,2,80,88.5,-9.6
20220911,S92000003,3,85,81,4.9
20220911,S92000003,4,102,79,29.1
20220911,S92000003,5,62,63.5,-2.4
20220918,S92000003,1,92,114.5,-19.7
20220918,S92000003,2,77,94.5,-18.5
20220918,S92000003,3,98,81.5,20.2
20220918,S92000003,4,75,75.5,-0.7
20220918,S92000003,5,59,54.5,8.3
20220925,S92000003,1,98,119.5,-18
20220925,S92000003,2,79,97,-18.6
20220925,S92000003,3,74,96.5,-23.3
20220925,S92000003,4,86,90.5,-5
20220925,S92000003,5,64,59,8.5
20221002,S92000003,1,92,104.5,-12
20221002,S92000003,2,94,86.5,8.7
20221002,S92000003,3,111,70.5,57.4
20221002,S92000003,4,92,88,4.5
20221002,S92000003,5,65,64.5,0.8
20221009,S92000003,1,101,107,-5.6
20221009,S92000003,2,84,87,-3.4
20221009,S92000003,3,94,80.5,16.8
20221009,S92000003,4,88,81.5,8
20221009,S92000003,5,49,60,-18.3
20221016,S92000003,1,86,111.5,-22.9
20221016,S92000003,2,77,98.5,-21.8
20221016,S92000003,3,98,81.5,20.2
20221016,S92000003,4,81,78,3.8
20221016,S92000003,5,65,53,22.6
20221023,S92000003,1,82,98.5,-16.8
20221023,S92000003,2,97,90.5,7.2
20221023,S92000003,3,86,85,1.2
20221023,S92000003,4,77,80,-3.8
20221023,S92000003,5,56,53.5,4.7
20221030,S92000003,1,85,110,-22.7
20221030,S92000003,2,101,81,24.7
20221030,S92000003,3,98,74,32.4
20221030,S92000003,4,78,82.5,-5.5
20221030,S92000003,5,63,58.5,7.7
20221106,S92000003,1,80,106,-24.5
20221106,S92000003,2,76,84,-9.5
20221106,S92000003,3,82,90.5,-9.4
20221106,S92000003,4,85,78.5,8.3
20221106,S92000003,5,53,57.5,-7.8
20221113,S92000003,1,92,128.5,-28.4
20221113,S92000003,2,73,105,-30.5
20221113,S92000003,3,83,88,-5.7
20221113,S92000003,4,88,83.5,5.4
20221113,S92000003,5,53,58.5,-9.4
20221120,S92000003,1,93,115,-19.1
20221120,S92000003,2,76,79.5,-4.4
20221120,S92000003,3,83,83.5,-0.6
20221120,S92000003,4,93,76,22.4
20221120,S92000003,5,69,60.5,14
20221127,S92000003,1,102,95.5,6.8
20221127,S92000003,2,68,87.5,-22.3
20221127,S92000003,3,73,80,-8.8
20221127,S92000003,4,80,81,-1.2
20221127,S92000003,5,67,57.5,16.5
20221204,S92000003,1,81,99,-18.2
20221204,S92000003,2,67,88,-23.9
20221204,S92000003,3,78,91,-14.3
20221204,S92000003,4,59,97,-39.2
20221204,S92000003,5,44,55.5,-20.7
20221211,S92000003,1,69,102.5,-32.7
20221211,S92000003,2,62,83,-25.3
20221211,S92000003,3,69,84,-17.9
20221211,S92000003,4,74,80.5,-8.1
20221211,S92000003,5,57,72.5,-21.4
20221218,S92000003,1,83,101,-17.8
20221218,S92000003,2,80,87.5,-8.6
20221218,S92000003,3,70,93.5,-25.1
20221218,S92000003,4,90,93,-3.2
20221218,S92000003,5,43,58.5,-26.5
20221225,S92000003,1,92,102,-9.8
20221225,S92000003,2,78,89.5,-12.8
20221225,S92000003,3,70,80.5,-13
20221225,S92000003,4,65,80.5,-19.3
20221225,S92000003,5,50,59,-15.3
20230101,S92000003,1,65,97,-33
20230101,S92000003,2,74,91.5,-19.1
20230101,S92000003,3,72,87.5,-17.7
20230101,S92000003,4,76,75.5,0.7
20230101,S92000003,5,62,62.5,-0.8
20230108,S92000003,1,75,107.5,-30.2
20230108,S92000003,2,60,99,-39.4
20230108,S92000003,3,105,86.5,21.4
20230108,S92000003,4,69,82.5,-16.4
20230108,S92000003,5,42,62.5,-32.8
20230115,S92000003,1,90,119.5,-24.7
20230115,S92000003,2,74,95,-22.1
20230115,S92000003,3,81,93,-12.9
20230115,S92000003,4,77,66,16.7
20230115,S92000003,5,56,67.5,-17
20230122,S92000003,1,67,110,-39.1
20230122,S92000003,2,61,90.5,-32.6
20230122,S92000003,3,68,80.5,-15.5
20230122,S92000003,4,68,83,-18.1
20230122,S92000003,5,53,55.5,-4.5
20230129,S92000003,1,77,117,-34.2
20230129,S92000003,2,55,91,-39.6
20230129,S92000003,3,59,86.5,-31.8
20230129,S92000003,4,70,86,-18.6
20230129,S92000003,5,38,53,-28.3
20230205,S92000003,1,86,115,-25.2
20230205,S92000003,2,80,108.5,-26.3
20230205,S92000003,3,95,83,14.5
20230205,S92000003,4,80,91,-12.1
20230205,S92000003,5,61,62,-1.6
20230212,S92000003,1,94,119.5,-21.3
20230212,S92000003,2,67,86,-22.1
20230212,S92000003,3,67,79.5,-15.7
20230212,S92000003,4,67,80,-16.2
20230212,S92000003,5,38,62,-38.7
20230219,S92000003,1,86,117,-26.5
20230219,S92000003,2,72,98,-26.5
20230219,S92000003,3,78,93.5,-16.6
20230219,S92000003,4,93,87,6.9
20230219,S92000003,5,48,65.5,-26.7
20230226,S92000003,1,77,107.5,-28.4
20230226,S92000003,2,77,87.5,-12
20230226,S92000003,3,86,79,8.9
20230226,S92000003,4,83,85.5,-2.9
20230226,S92000003,5,63,61.5,2.4
20230305,S92000003,1,70,106.5,-34.3
20230305,S92000003,2,80,85.5,-6.4
20230305,S92000003,3,77,86.5,-11
20230305,S92000003,4,65,101.5,-36
20230305,S92000003,5,47,69.5,-32.4
20230312,S92000003,1,95,111,-14.4
20230312,S92000003,2,76,95,-20
20230312,S92000003,3,91,100.5,-9.5
20230312,S92000003,4,99,87,13.8
20230312,S92000003,5,56,63.5,-11.8
20230319,S92000003,1,85,100.5,-15.4
20230319,S92000003,2,91,85,7.1
20230319,S92000003,3,83,93,-10.8
20230319,S92000003,4,93,88.5,5.1
20230319,S92000003,5,52,66.5,-21.8
20230326,S92000003,1,103,118,-12.7
20230326,S92000003,2,76,91.5,-16.9
20230326,S92000003,3,81,88,-8
20230326,S92000003,4,79,83,-4.8
20230326,S92000003,5,56,52,7.7
20230402,S92000003,1,74,100,-26
20230402,S92000003,2,82,80,2.5
20230402,S92000003,3,73,85,-14.1
20230402,S92000003,4,87,84.5,3
20230402,S92000003,5,57,59.5,-4.2
20230409,S92000003,1,74,130,-43.1
20230409,S92000003,2,66,85.5,-22.8
20230409,S92000003,3,77,80,-3.8
20230409,S92000003,4,73,78,-6.4
20230409,S92000003,5,54,54,-0
20230416,S92000003,1,104,110,-5.5
20230416,S92000003,2,87,88.5,-1.7
20230416,S92000003,3,95,90,5.6
20230416,S92000003,4,79,90,-12.2
20230416,S92000003,5,55,65,-15.4
20230423,S92000003,1,87,119.5,-27.2
20230423,S92000003,2,78,89,-12.4
20230423,S92000003,3,79,88.5,-10.7
20230423,S92000003,4,85,78,9
20230423,S92000003,5,58,57.5,0.9
20230430,S92000003,1,94,103,-8.7
20230430,S92000003,2,83,92.5,-10.3
20230430,S92000003,3,72,93,-22.6
20230430,S92000003,4,105,89,18
20230430,S92000003,5,57,59,-3.4
20230507,S92000003,1,99,107.5,-7.9
20230507,S92000003,2,80,85,-5.9
20230507,S92000003,3,95,71.5,32.9
20230507,S92000003,4,104,72,44.4
20230507,S92000003,5,49,52.5,-6.7
20230514,S92000003,1,82,109.5,-25.1
20230514,S92000003,2,64,95.5,-33
20230514,S92000003,3,94,87.5,7.4
20230514,S92000003,4,81,81.5,-0.6
20230514,S92000003,5,51,64.5,-20.9
20230521,S92000003,1,101,111,-9
20230521,S92000003,2,69,76.5,-9.8
20230521,S92000003,3,84,79.5,5.7
20230521,S92000003,4,81,74.5,8.7
20230521,S92000003,5,63,61.5,2.4
