"","month","month_label","season","year","right_season","hbt","number_of_attendances_all"
"1",200707,"July","summer",2007,TRUE,"S08000015",252
"2",200707,"July","summer",2007,TRUE,"S08000015",5414
"3",200707,"July","summer",2007,TRUE,"S08000015",92
"4",200707,"July","summer",2007,TRUE,"S08000015",3530
"5",200707,"July","summer",2007,TRUE,"S08000016",20
"6",200707,"July","summer",2007,TRUE,"S08000016",105
"7",200707,"July","summer",2007,TRUE,"S08000016",31
"8",200707,"July","summer",2007,TRUE,"S08000016",87
"9",200707,"July","summer",2007,TRUE,"S08000016",1823
"10",200707,"July","summer",2007,TRUE,"S08000017",86
"11",200707,"July","summer",2007,TRUE,"S08000017",83
"12",200707,"July","summer",2007,TRUE,"S08000017",7
"13",200707,"July","summer",2007,TRUE,"S08000017",85
"14",200707,"July","summer",2007,TRUE,"S08000017",1189
"15",200707,"July","summer",2007,TRUE,"S08000017",2970
"16",200707,"July","summer",2007,TRUE,"S08000029",3912
"17",200707,"July","summer",2007,TRUE,"S08000029",174
"18",200707,"July","summer",2007,TRUE,"S08000029",282
"19",200707,"July","summer",2007,TRUE,"S08000029",3638
"20",200707,"July","summer",2007,TRUE,"S08000019",1772
"21",200707,"July","summer",2007,TRUE,"S08000019",4195
"22",200707,"July","summer",2007,TRUE,"S08000020",5312
"23",200707,"July","summer",2007,TRUE,"S08000020",1333
"24",200707,"July","summer",2007,TRUE,"S08000020",72
"25",200707,"July","summer",2007,TRUE,"S08000020",40
"26",200707,"July","summer",2007,TRUE,"S08000020",62
"27",200707,"July","summer",2007,TRUE,"S08000020",1114
"28",200707,"July","summer",2007,TRUE,"S08000020",904
"29",200707,"July","summer",2007,TRUE,"S08000020",279
"30",200707,"July","summer",2007,TRUE,"S08000020",178
"31",200707,"July","summer",2007,TRUE,"S08000020",359
"32",200707,"July","summer",2007,TRUE,"S08000020",1925
"33",200707,"July","summer",2007,TRUE,"S08000020",107
"34",200707,"July","summer",2007,TRUE,"S08000020",37
"35",200707,"July","summer",2007,TRUE,"S08000020",113
"36",200707,"July","summer",2007,TRUE,"S08000020",62
"37",200707,"July","summer",2007,TRUE,"S08000020",32
"38",200707,"July","summer",2007,TRUE,"S08000020",153
"39",200707,"July","summer",2007,TRUE,"S08000031",1382
"40",200707,"July","summer",2007,TRUE,"S08000031",2693
"41",200707,"July","summer",2007,TRUE,"S08000031",5479
"42",200707,"July","summer",2007,TRUE,"S08000031",6200
"43",200707,"July","summer",2007,TRUE,"S08000031",3390
"44",200707,"July","summer",2007,TRUE,"S08000031",5864
"45",200707,"July","summer",2007,TRUE,"S08000031",4186
"46",200707,"July","summer",2007,TRUE,"S08000031",2981
"47",200707,"July","summer",2007,TRUE,"S08000031",5040
"48",200707,"July","summer",2007,TRUE,"S08000022",401
"49",200707,"July","summer",2007,TRUE,"S08000022",615
"50",200707,"July","summer",2007,TRUE,"S08000022",110
"51",200707,"July","summer",2007,TRUE,"S08000022",468
"52",200707,"July","summer",2007,TRUE,"S08000022",369
"53",200707,"July","summer",2007,TRUE,"S08000022",67
"54",200707,"July","summer",2007,TRUE,"S08000022",616
"55",200707,"July","summer",2007,TRUE,"S08000022",211
"56",200707,"July","summer",2007,TRUE,"S08000022",199
"57",200707,"July","summer",2007,TRUE,"S08000022",496
"58",200707,"July","summer",2007,TRUE,"S08000022",73
"59",200707,"July","summer",2007,TRUE,"S08000022",2618
"60",200707,"July","summer",2007,TRUE,"S08000022",281
"61",200707,"July","summer",2007,TRUE,"S08000022",113
"62",200707,"July","summer",2007,TRUE,"S08000022",896
"63",200707,"July","summer",2007,TRUE,"S08000022",300
"64",200707,"July","summer",2007,TRUE,"S08000022",153
"65",200707,"July","summer",2007,TRUE,"S08000022",185
"66",200707,"July","summer",2007,TRUE,"S08000022",91
"67",200707,"July","summer",2007,TRUE,"S08000022",202
"68",200707,"July","summer",2007,TRUE,"S08000032",5662
"69",200707,"July","summer",2007,TRUE,"S08000032",165
"70",200707,"July","summer",2007,TRUE,"S08000032",166
"71",200707,"July","summer",2007,TRUE,"S08000032",4545
