Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200313,S92000003,4,15,57,0,,0,,0,,15,57,0,0,0,0
20200313,S92000003,5,13,59,0,,0,,0,,13,59,0,0,0,0
20200314,S92000003,1,5,22,1,,1,,0.0923593851451012,,5,22,0,0,0,0
20200314,S92000003,2,5,21,0,,0,,0,,5,21,0,0,0,0
20200314,S92000003,3,1,28,0,,0,,0,,1,28,0,0,0,0
20200314,S92000003,4,6,63,1,,1,,0.08972142395077523,,6,63,0,0,0,0
20200314,S92000003,5,2,61,0,,0,,0,,2,61,0,0,0,0
20200315,S92000003,1,2,24,0,,1,,0.0923593851451012,,2,24,0,0,0,0
20200315,S92000003,2,2,23,0,,0,,0,,2,23,0,0,0,0
20200315,S92000003,3,3,31,0,,0,,0,,3,31,0,0,0,0
20200315,S92000003,4,0,63,0,,1,,0.08972142395077523,,0,63,0,0,,0
20200315,S92000003,5,5,66,0,,0,,0,,5,66,0,0,0,0
20200316,S92000003,1,5,29,0,,1,,0.0923593851451012,,5,29,0,0,0,0
20200316,S92000003,2,4,27,0,,0,,0,,4,27,0,0,0,0
20200316,S92000003,3,5,36,1,,1,,0.09160185072379202,,5,36,0,0,0,0
20200316,S92000003,4,2,65,0,,1,,0.08972142395077523,,2,65,0,0,0,0
20200316,S92000003,5,5,71,0,,0,,0,,5,71,0,0,0,0
20200317,S92000003,1,9,38,0,,1,,0.0923593851451012,,9,38,0,0,0,0
20200317,S92000003,2,10,37,1,,1,,0.09226998937049724,,10,37,0,0,0,0
20200317,S92000003,3,5,41,0,,1,,0.09160185072379202,,5,41,0,0,0,0
20200317,S92000003,4,6,71,0,,1,,0.08972142395077523,,6,71,0,0,0,0
20200317,S92000003,5,13,84,1,,1,,0.09146996812271611,,13,84,0,0,0,0
20200318,S92000003,1,11,49,0,,1,,0.0923593851451012,,11,49,0,0,0,0
20200318,S92000003,2,7,44,0,,1,,0.09226998937049724,,7,44,0,0,0,0
20200318,S92000003,3,4,45,0,,1,,0.09160185072379202,,4,45,0,0,0,0
20200318,S92000003,4,9,80,0,,1,,0.08972142395077523,,9,80,0,0,0,0
20200318,S92000003,5,10,94,0,,1,,0.09146996812271611,,10,94,0,0,0,0
20200319,S92000003,1,11,60,1,,2,,0.1847187702902024,,11,60,0,0,0,0
20200319,S92000003,2,10,54,1,,2,,0.18453997874099445,,10,54,0,0,0,0
20200319,S92000003,3,9,54,0,,1,,0.09160185072379202,,9,54,0,0,0,0
20200319,S92000003,4,9,89,0,,1,,0.08972142395077523,,9,89,0,0,0,0
20200319,S92000003,5,9,103,1,,2,,0.18293993624543223,,9,103,0,0,0,0
20200320,S92000003,1,10,70,3,,5,,0.46179692572550607,,10,70,0,0,0,0
20200320,S92000003,2,12,66,1,,3,,0.27680996811149167,,12,66,0,0,0,0
20200320,S92000003,3,23,77,0,,1,,0.09160185072379202,,23,77,0,0,0,0
20200320,S92000003,4,20,109,1,,2,,0.17944284790155046,,20,109,0,0,0,0
20200320,S92000003,5,17,120,0,,2,,0.18293993624543223,,17,120,0,0,0,0
20200321,S92000003,1,6,76,2,,7,,0.6465156960157085,,6,76,0,0,0,0
20200321,S92000003,2,14,80,1,,4,,0.3690799574819889,,14,80,0,0,0,0
20200321,S92000003,3,15,92,1,,2,,0.18320370144758405,,15,92,0,0,0,0
20200321,S92000003,4,11,120,1,,3,,0.2691642718523257,,11,120,0,0,0,0
20200321,S92000003,5,20,140,1,,3,,0.2744099043681483,,20,140,0,0,0,0
20200322,S92000003,1,11,87,0,,7,,0.6465156960157085,,11,87,0,0,0,0
20200322,S92000003,2,14,94,2,,6,,0.5536199362229833,,14,94,0,0,0,0
20200322,S92000003,3,15,107,0,,2,,0.18320370144758405,,15,107,0,0,0,0
20200322,S92000003,4,14,134,1,,4,,0.3588856958031009,,14,134,0,0,0,0
20200322,S92000003,5,18,158,2,,5,,0.4573498406135805,,18,158,0,0,0,0
20200323,S92000003,1,26,113,1,,8,,0.7388750811608097,,26,113,0,0,0,0
20200323,S92000003,2,32,126,1,,7,,0.6458899255934806,,32,126,0,0,0,0
20200323,S92000003,3,30,137,1,,3,,0.2748055521713761,,30,137,0,0,0,0
20200323,S92000003,4,16,150,0,,4,,0.3588856958031009,,16,150,0,0,0,0
20200323,S92000003,5,31,189,1,,6,,0.5488198087362967,,31,189,0,0,0,0
20200324,S92000003,1,33,146,1,,9,,0.8312344663059109,,33,146,0,0,0,0
20200324,S92000003,2,35,161,3,,10,,0.9226998937049724,,35,161,0,0,0,0
20200324,S92000003,3,25,162,1,,4,,0.3664074028951681,,25,162,0,0,0,0
20200324,S92000003,4,30,180,1,,5,,0.4486071197538762,,30,180,0,0,0,0
20200324,S92000003,5,41,230,1,,7,,0.6402897768590128,,41,230,0,0,0,0
20200325,S92000003,1,42,188,1,,10,,0.923593851451012,,42,188,0,0,0,0
20200325,S92000003,2,32,193,1,,11,,1.0149698830754694,,32,193,0,0,0,0
20200325,S92000003,3,33,195,4,,8,,0.7328148057903362,,33,195,0,0,0,0
20200325,S92000003,4,40,220,1,,6,,0.5383285437046514,,40,220,0,0,0,0
20200325,S92000003,5,34,264,4,,11,,1.0061696493498773,,34,264,0,0,0,0
20200326,S92000003,1,53,241,1,,11,,1.0159532365961133,,53,241,0,0,0,0
20200326,S92000003,2,38,231,4,,15,,1.3840498405574584,,38,231,0,0,0,0
20200326,S92000003,3,33,228,1,,9,,0.8244166565141282,,33,228,0,0,0,0
20200326,S92000003,4,46,266,4,,10,,0.8972142395077524,,46,266,0,0,0,0
20200326,S92000003,5,47,311,2,,13,,1.189109585595309,,47,311,0,0,0,0
20200327,S92000003,1,61,302,1,,12,,1.1083126217412147,,61,302,0,0,0,0
20200327,S92000003,2,51,282,6,,21,,1.9376697767804416,,51,282,0,0,0,0
20200327,S92000003,3,44,272,2,,11,,1.0076203579617122,,44,272,0,0,0,0
20200327,S92000003,4,52,318,1,,11,,0.9869356634585276,,52,318,0,0,0,0
20200327,S92000003,5,65,376,1,,14,,1.2805795537180256,,65,376,0,0,0,0
20200328,S92000003,1,42,344,9,,21,,1.9395470880471255,,42,344,0,0,0,0
20200328,S92000003,2,41,323,7,,28,,2.5835597023739223,,41,323,0,0,0,0
20200328,S92000003,3,37,309,8,,19,,1.7404351637520483,,37,309,0,0,0,0
20200328,S92000003,4,36,354,2,,13,,1.1663785113600782,,36,354,0,0,0,0
20200328,S92000003,5,47,423,3,,17,,1.5549894580861738,,47,423,0,0,0,0
20200329,S92000003,1,50,394,6,,27,,2.4937033989177326,,50,394,0,0,0,0
20200329,S92000003,2,48,371,3,,31,,2.860369670485414,,48,371,0,0,0,0
20200329,S92000003,3,38,347,3,,22,,2.0152407159234245,,38,347,0,0,0,0
20200329,S92000003,4,24,378,2,,15,,1.3458213592616286,,24,378,0,0,0,0
20200329,S92000003,5,34,457,6,,23,,2.1038092668224704,,34,457,0,0,0,0
20200330,S92000003,1,67,461,7,,34,,3.140219094933441,,67,461,0,0,0,0
20200330,S92000003,2,73,444,5,,36,,3.3217196173379002,,73,444,0,0,0,0
20200330,S92000003,3,46,393,11,,33,,3.022861073885137,,46,393,0,0,0,0
20200330,S92000003,4,64,442,2,,17,,1.525264207163179,,64,442,0,0,0,0
20200330,S92000003,5,63,520,5,,28,,2.561159107436051,,63,520,0,0,0,0
20200331,S92000003,1,84,545,12,,46,,4.2485317166746555,,84,545,0,0,0,0
20200331,S92000003,2,79,523,8,,44,,4.059879532301878,,79,523,0,0,0,0
20200331,S92000003,3,42,435,11,,44,,4.030481431846849,,42,435,0,0,0,0
20200331,S92000003,4,63,505,3,,20,,1.7944284790155047,,63,505,0,0,0,0
20200331,S92000003,5,69,589,4,,32,,2.9270389799269156,,69,589,0,0,0,0
20200401,S92000003,1,76,621,13,,59,,5.449203723560972,,76,621,0,0,0,0
20200401,S92000003,2,83,606,10,,54,,4.98257942600685,,83,606,0,0,0,0
20200401,S92000003,3,73,508,7,,51,,4.671694386913393,,73,508,0,0,0,0
20200401,S92000003,4,67,572,10,,30,,2.691642718523257,,67,572,0,0,0,0
20200401,S92000003,5,88,677,6,,38,,3.4758587886632126,,88,677,0,0,0,0
20200402,S92000003,1,67,688,8,,67,,6.188078804721781,,67,688,0,0,0,0
20200402,S92000003,2,89,695,9,,63,,5.813009330341325,,89,695,0,0,0,0
20200402,S92000003,3,78,586,8,,59,,5.404509192703729,,78,586,0,0,0,0
20200402,S92000003,4,70,642,8,,38,,3.4094141101294593,,70,642,0,0,0,0
20200402,S92000003,5,45,722,3,,41,,3.750268693031361,,45,722,0,0,0,0
