month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2017-09-01,S08000028,75plus,416,14
2017-09-01,S08000029,18plus,2517,84
2017-09-01,S08000029,18-74,932,31
2017-09-01,S08000029,75plus,1585,53
2017-09-01,S08000030,18plus,3401,113
2017-09-01,S08000030,18-74,1258,42
2017-09-01,S08000030,75plus,2143,71
2017-09-01,S08000031,18plus,4404,147
2017-09-01,S08000031,18-74,2022,67
2017-09-01,S08000031,75plus,2382,79
2017-09-01,S08000032,18plus,6418,214
2017-09-01,S08000032,18-74,1770,59
2017-09-01,S08000032,75plus,4648,155
2017-09-01,S92000003,18plus,42110,1404
2017-09-01,S92000003,18-74,12600,420
2017-09-01,S92000003,75plus,29510,984
2017-10-01,S08000015,18plus,3353,108
2017-10-01,S08000015,18-74,612,20
2017-10-01,S08000015,75plus,2741,88
2017-10-01,S08000016,18plus,1300,42
2017-10-01,S08000016,18-74,408,13
2017-10-01,S08000016,75plus,892,29
2017-10-01,S08000017,18plus,1040,34
2017-10-01,S08000017,18-74,219,7
2017-10-01,S08000017,75plus,821,26
2017-10-01,S08000019,18plus,2219,72
2017-10-01,S08000019,18-74,663,21
2017-10-01,S08000019,75plus,1556,50
2017-10-01,S08000020,18plus,3732,120
2017-10-01,S08000020,18-74,1040,34
2017-10-01,S08000020,75plus,2692,87
2017-10-01,S08000022,18plus,3672,118
2017-10-01,S08000022,18-74,862,28
2017-10-01,S08000022,75plus,2810,91
2017-10-01,S08000024,18plus,10715,346
2017-10-01,S08000024,18-74,3014,97
2017-10-01,S08000024,75plus,7701,248
2017-10-01,S08000025,18plus,64,2
2017-10-01,S08000025,18-74,47,2
2017-10-01,S08000025,75plus,17,1
2017-10-01,S08000026,18plus,128,4
2017-10-01,S08000026,18-74,42,1
2017-10-01,S08000026,75plus,86,3
2017-10-01,S08000028,18plus,440,14
2017-10-01,S08000028,18-74,34,1
2017-10-01,S08000028,75plus,406,13
2017-10-01,S08000029,18plus,2446,79
2017-10-01,S08000029,18-74,926,30
2017-10-01,S08000029,75plus,1520,49
2017-10-01,S08000030,18plus,3507,113
2017-10-01,S08000030,18-74,1334,43
2017-10-01,S08000030,75plus,2173,70
2017-10-01,S08000031,18plus,4600,148
2017-10-01,S08000031,18-74,2301,74
2017-10-01,S08000031,75plus,2299,74
2017-10-01,S08000032,18plus,7278,235
2017-10-01,S08000032,18-74,2042,66
2017-10-01,S08000032,75plus,5236,169
2017-10-01,S92000003,18plus,44494,1435
2017-10-01,S92000003,18-74,13544,437
2017-10-01,S92000003,75plus,30950,998
2017-11-01,S08000015,18plus,3495,117
2017-11-01,S08000015,18-74,655,22
2017-11-01,S08000015,75plus,2840,95
2017-11-01,S08000016,18plus,1405,47
2017-11-01,S08000016,18-74,275,9
2017-11-01,S08000016,75plus,1130,38
2017-11-01,S08000017,18plus,1018,34
2017-11-01,S08000017,18-74,257,9
2017-11-01,S08000017,75plus,761,25
2017-11-01,S08000019,18plus,2108,70
2017-11-01,S08000019,18-74,683,23
2017-11-01,S08000019,75plus,1425,48
2017-11-01,S08000020,18plus,3768,126
2017-11-01,S08000020,18-74,980,33
2017-11-01,S08000020,75plus,2788,93
2017-11-01,S08000022,18plus,3415,114
2017-11-01,S08000022,18-74,694,23
2017-11-01,S08000022,75plus,2721,91
2017-11-01,S08000024,18plus,9925,331
2017-11-01,S08000024,18-74,3012,100
2017-11-01,S08000024,75plus,6913,230
2017-11-01,S08000025,18plus,30,1
2017-11-01,S08000025,18-74,30,1
2017-11-01,S08000025,75plus,0,0
2017-11-01,S08000026,18plus,116,4
2017-11-01,S08000026,18-74,56,2
2017-11-01,S08000026,75plus,60,2
2017-11-01,S08000028,18plus,438,15
2017-11-01,S08000028,18-74,30,1
2017-11-01,S08000028,75plus,408,14
2017-11-01,S08000029,18plus,1954,65
2017-11-01,S08000029,18-74,813,27
2017-11-01,S08000029,75plus,1141,38
2017-11-01,S08000030,18plus,2971,99
2017-11-01,S08000030,18-74,1194,40
2017-11-01,S08000030,75plus,1777,59
2017-11-01,S08000031,18plus,5016,167
2017-11-01,S08000031,18-74,2303,77
2017-11-01,S08000031,75plus,2713,90
2017-11-01,S08000032,18plus,6661,222
2017-11-01,S08000032,18-74,1988,66
2017-11-01,S08000032,75plus,4673,156
2017-11-01,S92000003,18plus,42320,1411
2017-11-01,S92000003,18-74,12970,432
2017-11-01,S92000003,75plus,29350,978
2017-12-01,S08000015,18plus,3124,101
2017-12-01,S08000015,18-74,625,20
2017-12-01,S08000015,75plus,2499,81
2017-12-01,S08000016,18plus,1405,45
2017-12-01,S08000016,18-74,314,10
2017-12-01,S08000016,75plus,1091,35
2017-12-01,S08000017,18plus,1143,37
2017-12-01,S08000017,18-74,328,11
2017-12-01,S08000017,75plus,815,26
2017-12-01,S08000019,18plus,2135,69
2017-12-01,S08000019,18-74,544,18
2017-12-01,S08000019,75plus,1591,51
2017-12-01,S08000020,18plus,4433,143
2017-12-01,S08000020,18-74,1249,40
2017-12-01,S08000020,75plus,3184,103
2017-12-01,S08000022,18plus,3674,119
2017-12-01,S08000022,18-74,593,19
2017-12-01,S08000022,75plus,3081,99
2017-12-01,S08000024,18plus,9855,318
2017-12-01,S08000024,18-74,3084,99
2017-12-01,S08000024,75plus,6771,218
2017-12-01,S08000025,18plus,2,0
2017-12-01,S08000025,18-74,2,0
2017-12-01,S08000025,75plus,0,0
2017-12-01,S08000026,18plus,96,3
2017-12-01,S08000026,18-74,17,1
2017-12-01,S08000026,75plus,79,3
2017-12-01,S08000028,18plus,511,16
2017-12-01,S08000028,18-74,140,5
2017-12-01,S08000028,75plus,371,12
2017-12-01,S08000029,18plus,2021,65
2017-12-01,S08000029,18-74,817,26
2017-12-01,S08000029,75plus,1204,39
2017-12-01,S08000030,18plus,3035,98
2017-12-01,S08000030,18-74,1360,44
2017-12-01,S08000030,75plus,1675,54
2017-12-01,S08000031,18plus,4547,147
2017-12-01,S08000031,18-74,2382,77
2017-12-01,S08000031,75plus,2165,70
2017-12-01,S08000032,18plus,5917,191
2017-12-01,S08000032,18-74,1791,58
2017-12-01,S08000032,75plus,4126,133
2017-12-01,S92000003,18plus,41898,1352
2017-12-01,S92000003,18-74,13246,427
2017-12-01,S92000003,75plus,28652,924
2018-01-01,S08000015,18plus,2855,92
2018-01-01,S08000015,18-74,646,21
2018-01-01,S08000015,75plus,2209,71
2018-01-01,S08000016,18plus,1185,38
2018-01-01,S08000016,18-74,309,10
2018-01-01,S08000016,75plus,876,28
2018-01-01,S08000017,18plus,1093,35
2018-01-01,S08000017,18-74,342,11
2018-01-01,S08000017,75plus,751,24
2018-01-01,S08000019,18plus,2114,68
2018-01-01,S08000019,18-74,614,20
2018-01-01,S08000019,75plus,1500,48
2018-01-01,S08000020,18plus,4390,142
2018-01-01,S08000020,18-74,1032,33
2018-01-01,S08000020,75plus,3358,108
2018-01-01,S08000022,18plus,3357,108
2018-01-01,S08000022,18-74,612,20
2018-01-01,S08000022,75plus,2745,89
2018-01-01,S08000024,18plus,10830,349
2018-01-01,S08000024,18-74,3071,99
2018-01-01,S08000024,75plus,7759,250
2018-01-01,S08000025,18plus,0,0
2018-01-01,S08000025,18-74,0,0
2018-01-01,S08000025,75plus,0,0
2018-01-01,S08000026,18plus,159,5
2018-01-01,S08000026,18-74,52,2
2018-01-01,S08000026,75plus,107,3
2018-01-01,S08000028,18plus,471,15
2018-01-01,S08000028,18-74,141,5
2018-01-01,S08000028,75plus,330,11
2018-01-01,S08000029,18plus,1949,63
2018-01-01,S08000029,18-74,716,23
2018-01-01,S08000029,75plus,1233,40
2018-01-01,S08000030,18plus,2455,79
2018-01-01,S08000030,18-74,1166,38
2018-01-01,S08000030,75plus,1289,42
2018-01-01,S08000031,18plus,4320,139
2018-01-01,S08000031,18-74,2355,76
2018-01-01,S08000031,75plus,1965,63
2018-01-01,S08000032,18plus,4974,160
2018-01-01,S08000032,18-74,1486,48
2018-01-01,S08000032,75plus,3488,113
2018-01-01,S92000003,18plus,40152,1295
2018-01-01,S92000003,18-74,12542,405
2018-01-01,S92000003,75plus,27610,891
2018-02-01,S08000015,18plus,2932,105
2018-02-01,S08000015,18-74,532,19
2018-02-01,S08000015,75plus,2400,86
2018-02-01,S08000016,18plus,854,31
2018-02-01,S08000016,18-74,297,11
2018-02-01,S08000016,75plus,557,20
2018-02-01,S08000017,18plus,871,31
2018-02-01,S08000017,18-74,297,11
2018-02-01,S08000017,75plus,574,21
2018-02-01,S08000019,18plus,2102,75
2018-02-01,S08000019,18-74,684,24
2018-02-01,S08000019,75plus,1418,51
2018-02-01,S08000020,18plus,3751,134
2018-02-01,S08000020,18-74,910,33
2018-02-01,S08000020,75plus,2841,101
2018-02-01,S08000022,18plus,2879,103
2018-02-01,S08000022,18-74,677,24
2018-02-01,S08000022,75plus,2202,79
2018-02-01,S08000024,18plus,10428,372
2018-02-01,S08000024,18-74,2916,104
2018-02-01,S08000024,75plus,7512,268
2018-02-01,S08000025,18plus,3,0
2018-02-01,S08000025,18-74,3,0
2018-02-01,S08000025,75plus,0,0
2018-02-01,S08000026,18plus,91,3
2018-02-01,S08000026,18-74,27,1
2018-02-01,S08000026,75plus,64,2
2018-02-01,S08000028,18plus,476,17
2018-02-01,S08000028,18-74,107,4
2018-02-01,S08000028,75plus,369,13
2018-02-01,S08000029,18plus,2233,80
2018-02-01,S08000029,18-74,788,28
2018-02-01,S08000029,75plus,1445,52
2018-02-01,S08000030,18plus,2510,90
2018-02-01,S08000030,18-74,1111,40
2018-02-01,S08000030,75plus,1399,50
2018-02-01,S08000031,18plus,4332,155
2018-02-01,S08000031,18-74,2161,77
2018-02-01,S08000031,75plus,2171,78
2018-02-01,S08000032,18plus,4932,176
2018-02-01,S08000032,18-74,1520,54
2018-02-01,S08000032,75plus,3412,122
2018-02-01,S92000003,18plus,38394,1371
2018-02-01,S92000003,18-74,12030,430
2018-02-01,S92000003,75plus,26364,942
2018-03-01,S08000015,18plus,3373,109
2018-03-01,S08000015,18-74,658,21
2018-03-01,S08000015,75plus,2715,88
2018-03-01,S08000016,18plus,1106,36
2018-03-01,S08000016,18-74,394,13
2018-03-01,S08000016,75plus,712,23
2018-03-01,S08000017,18plus,1176,38
2018-03-01,S08000017,18-74,307,10
2018-03-01,S08000017,75plus,869,28
2018-03-01,S08000019,18plus,2380,77
2018-03-01,S08000019,18-74,648,21
2018-03-01,S08000019,75plus,1732,56
2018-03-01,S08000020,18plus,3711,120
2018-03-01,S08000020,18-74,1066,34
2018-03-01,S08000020,75plus,2645,85
2018-03-01,S08000022,18plus,3196,103
2018-03-01,S08000022,18-74,774,25
2018-03-01,S08000022,75plus,2422,78
2018-03-01,S08000024,18plus,12155,392
2018-03-01,S08000024,18-74,3496,113
2018-03-01,S08000024,75plus,8659,279
2018-03-01,S08000025,18plus,14,0
2018-03-01,S08000025,18-74,13,0
2018-03-01,S08000025,75plus,1,0
2018-03-01,S08000026,18plus,73,2
2018-03-01,S08000026,18-74,24,1
2018-03-01,S08000026,75plus,49,2
2018-03-01,S08000028,18plus,513,17
2018-03-01,S08000028,18-74,117,4
2018-03-01,S08000028,75plus,396,13
2018-03-01,S08000029,18plus,2156,70
2018-03-01,S08000029,18-74,812,26
2018-03-01,S08000029,75plus,1344,43
2018-03-01,S08000030,18plus,2738,88
2018-03-01,S08000030,18-74,1108,36
2018-03-01,S08000030,75plus,1630,53
2018-03-01,S08000031,18plus,5119,165
2018-03-01,S08000031,18-74,2617,84
2018-03-01,S08000031,75plus,2502,81
2018-03-01,S08000032,18plus,4918,159
2018-03-01,S08000032,18-74,1708,55
2018-03-01,S08000032,75plus,3210,104
2018-03-01,S92000003,18plus,42628,1375
2018-03-01,S92000003,18-74,13742,443
2018-03-01,S92000003,75plus,28886,932
2018-04-01,S08000015,18plus,3085,103
2018-04-01,S08000015,18-74,629,21
2018-04-01,S08000015,75plus,2456,82
2018-04-01,S08000016,18plus,1005,34
2018-04-01,S08000016,18-74,271,9
2018-04-01,S08000016,75plus,734,24
2018-04-01,S08000017,18plus,940,31
2018-04-01,S08000017,18-74,255,9
2018-04-01,S08000017,75plus,685,23
2018-04-01,S08000019,18plus,2584,86
2018-04-01,S08000019,18-74,758,25
2018-04-01,S08000019,75plus,1826,61
2018-04-01,S08000020,18plus,3716,124
2018-04-01,S08000020,18-74,981,33
2018-04-01,S08000020,75plus,2735,91
2018-04-01,S08000022,18plus,3242,108
2018-04-01,S08000022,18-74,960,32
2018-04-01,S08000022,75plus,2282,76
2018-04-01,S08000024,18plus,11589,386
2018-04-01,S08000024,18-74,3213,107
2018-04-01,S08000024,75plus,8376,279
2018-04-01,S08000025,18plus,30,1
2018-04-01,S08000025,18-74,0,0
2018-04-01,S08000025,75plus,30,1
2018-04-01,S08000026,18plus,37,1
2018-04-01,S08000026,18-74,7,0
2018-04-01,S08000026,75plus,30,1
2018-04-01,S08000028,18plus,535,18
2018-04-01,S08000028,18-74,99,3
2018-04-01,S08000028,75plus,436,15
2018-04-01,S08000029,18plus,2154,72
2018-04-01,S08000029,18-74,859,29
2018-04-01,S08000029,75plus,1295,43
2018-04-01,S08000030,18plus,2413,80
2018-04-01,S08000030,18-74,986,33
2018-04-01,S08000030,75plus,1427,48
2018-04-01,S08000031,18plus,5354,178
2018-04-01,S08000031,18-74,2522,84
2018-04-01,S08000031,75plus,2832,94
2018-04-01,S08000032,18plus,4769,159
2018-04-01,S08000032,18-74,1444,48
2018-04-01,S08000032,75plus,3325,111
2018-04-01,S92000003,18plus,41453,1382
2018-04-01,S92000003,18-74,12984,433
2018-04-01,S92000003,75plus,28469,949
2018-05-01,S08000015,18plus,3688,119
2018-05-01,S08000015,18-74,665,21
2018-05-01,S08000015,75plus,3023,98
2018-05-01,S08000016,18plus,1362,44
2018-05-01,S08000016,18-74,356,11
2018-05-01,S08000016,75plus,1006,32
2018-05-01,S08000017,18plus,823,27
2018-05-01,S08000017,18-74,217,7
2018-05-01,S08000017,75plus,606,20
2018-05-01,S08000019,18plus,2391,77
2018-05-01,S08000019,18-74,779,25
2018-05-01,S08000019,75plus,1612,52
2018-05-01,S08000020,18plus,3623,117
2018-05-01,S08000020,18-74,912,29
2018-05-01,S08000020,75plus,2711,87
2018-05-01,S08000022,18plus,3668,118
2018-05-01,S08000022,18-74,972,31
2018-05-01,S08000022,75plus,2696,87
2018-05-01,S08000024,18plus,11547,372
2018-05-01,S08000024,18-74,3515,113
2018-05-01,S08000024,75plus,8032,259
2018-05-01,S08000025,18plus,4,0
2018-05-01,S08000025,18-74,0,0
2018-05-01,S08000025,75plus,4,0
2018-05-01,S08000026,18plus,116,4
2018-05-01,S08000026,18-74,40,1
2018-05-01,S08000026,75plus,76,2
2018-05-01,S08000028,18plus,618,20
2018-05-01,S08000028,18-74,101,3
2018-05-01,S08000028,75plus,517,17
2018-05-01,S08000029,18plus,2408,78
2018-05-01,S08000029,18-74,1099,35
2018-05-01,S08000029,75plus,1309,42
2018-05-01,S08000030,18plus,2481,80
2018-05-01,S08000030,18-74,965,31
2018-05-01,S08000030,75plus,1516,49
2018-05-01,S08000031,18plus,5795,187
2018-05-01,S08000031,18-74,2669,86
2018-05-01,S08000031,75plus,3126,101
2018-05-01,S08000032,18plus,4720,152
2018-05-01,S08000032,18-74,1487,48
2018-05-01,S08000032,75plus,3233,104
2018-05-01,S92000003,18plus,43244,1395
2018-05-01,S92000003,18-74,13777,444
2018-05-01,S92000003,75plus,29467,951
2018-06-01,S08000015,18plus,3448,115
2018-06-01,S08000015,18-74,671,22
2018-06-01,S08000015,75plus,2777,93
2018-06-01,S08000016,18plus,1059,35
2018-06-01,S08000016,18-74,310,10
2018-06-01,S08000016,75plus,749,25
2018-06-01,S08000017,18plus,959,32
2018-06-01,S08000017,18-74,290,10
2018-06-01,S08000017,75plus,669,22
2018-06-01,S08000019,18plus,2824,94
2018-06-01,S08000019,18-74,852,28
2018-06-01,S08000019,75plus,1972,66
2018-06-01,S08000020,18plus,3607,120
2018-06-01,S08000020,18-74,1102,37
2018-06-01,S08000020,75plus,2505,84
2018-06-01,S08000022,18plus,3571,119
2018-06-01,S08000022,18-74,796,27
2018-06-01,S08000022,75plus,2775,93
2018-06-01,S08000024,18plus,10429,348
2018-06-01,S08000024,18-74,2908,97
2018-06-01,S08000024,75plus,7521,251
2018-06-01,S08000025,18plus,0,0
2018-06-01,S08000025,18-74,0,0
2018-06-01,S08000025,75plus,0,0
2018-06-01,S08000026,18plus,87,3
2018-06-01,S08000026,18-74,14,0
2018-06-01,S08000026,75plus,73,2
2018-06-01,S08000028,18plus,677,23
2018-06-01,S08000028,18-74,65,2
2018-06-01,S08000028,75plus,612,20
2018-06-01,S08000029,18plus,1869,62
2018-06-01,S08000029,18-74,867,29
2018-06-01,S08000029,75plus,1002,33
2018-06-01,S08000030,18plus,2657,89
2018-06-01,S08000030,18-74,1159,39
2018-06-01,S08000030,75plus,1498,50
2018-06-01,S08000031,18plus,5637,188
2018-06-01,S08000031,18-74,2660,89
2018-06-01,S08000031,75plus,2977,99
2018-06-01,S08000032,18plus,5551,185
2018-06-01,S08000032,18-74,1718,57
2018-06-01,S08000032,75plus,3833,128
2018-06-01,S92000003,18plus,42375,1413
2018-06-01,S92000003,18-74,13412,447
2018-06-01,S92000003,75plus,28963,965
2018-07-01,S08000015,18plus,3027,98
2018-07-01,S08000015,18-74,581,19
2018-07-01,S08000015,75plus,2446,79
2018-07-01,S08000016,18plus,1005,32
2018-07-01,S08000016,18-74,327,11
2018-07-01,S08000016,75plus,678,22
2018-07-01,S08000017,18plus,1218,39
2018-07-01,S08000017,18-74,388,13
2018-07-01,S08000017,75plus,830,27
2018-07-01,S08000019,18plus,2731,88
2018-07-01,S08000019,18-74,898,29
2018-07-01,S08000019,75plus,1833,59
2018-07-01,S08000020,18plus,3476,112
2018-07-01,S08000020,18-74,963,31
2018-07-01,S08000020,75plus,2513,81
2018-07-01,S08000022,18plus,3925,127
2018-07-01,S08000022,18-74,634,20
2018-07-01,S08000022,75plus,3291,106
2018-07-01,S08000024,18plus,11250,363
2018-07-01,S08000024,18-74,2789,90
2018-07-01,S08000024,75plus,8461,273
2018-07-01,S08000025,18plus,0,0
2018-07-01,S08000025,18-74,0,0
2018-07-01,S08000025,75plus,0,0
2018-07-01,S08000026,18plus,101,3
2018-07-01,S08000026,18-74,13,0
2018-07-01,S08000026,75plus,88,3
2018-07-01,S08000028,18plus,545,18
2018-07-01,S08000028,18-74,53,2
2018-07-01,S08000028,75plus,492,16
2018-07-01,S08000029,18plus,2328,75
2018-07-01,S08000029,18-74,975,31
2018-07-01,S08000029,75plus,1353,44
2018-07-01,S08000030,18plus,2592,84
2018-07-01,S08000030,18-74,1116,36
2018-07-01,S08000030,75plus,1476,48
2018-07-01,S08000031,18plus,5742,185
2018-07-01,S08000031,18-74,2750,89
2018-07-01,S08000031,75plus,2992,97
2018-07-01,S08000032,18plus,5571,180
2018-07-01,S08000032,18-74,1584,51
2018-07-01,S08000032,75plus,3987,129
2018-07-01,S92000003,18plus,43511,1404
2018-07-01,S92000003,18-74,13071,422
2018-07-01,S92000003,75plus,30440,982
2018-08-01,S08000015,18plus,3278,106
2018-08-01,S08000015,18-74,674,22
2018-08-01,S08000015,75plus,2604,84
2018-08-01,S08000016,18plus,882,28
2018-08-01,S08000016,18-74,282,9
2018-08-01,S08000016,75plus,600,19
2018-08-01,S08000017,18plus,1288,42
2018-08-01,S08000017,18-74,512,17
2018-08-01,S08000017,75plus,776,25
2018-08-01,S08000019,18plus,2743,88
2018-08-01,S08000019,18-74,800,26
2018-08-01,S08000019,75plus,1943,63
2018-08-01,S08000020,18plus,3930,127
2018-08-01,S08000020,18-74,972,31
2018-08-01,S08000020,75plus,2958,95
2018-08-01,S08000022,18plus,4515,146
2018-08-01,S08000022,18-74,1141,37
2018-08-01,S08000022,75plus,3374,109
2018-08-01,S08000024,18plus,10919,352
2018-08-01,S08000024,18-74,3011,97
2018-08-01,S08000024,75plus,7908,255
2018-08-01,S08000025,18plus,22,1
2018-08-01,S08000025,18-74,0,0
2018-08-01,S08000025,75plus,22,1
2018-08-01,S08000026,18plus,221,7
2018-08-01,S08000026,18-74,52,2
2018-08-01,S08000026,75plus,169,5
2018-08-01,S08000028,18plus,518,17
2018-08-01,S08000028,18-74,138,4
2018-08-01,S08000028,75plus,380,12
2018-08-01,S08000029,18plus,2174,70
2018-08-01,S08000029,18-74,1176,38
2018-08-01,S08000029,75plus,998,32
2018-08-01,S08000030,18plus,2286,74
2018-08-01,S08000030,18-74,1063,34
2018-08-01,S08000030,75plus,1223,39
2018-08-01,S08000031,18plus,5769,186
2018-08-01,S08000031,18-74,2398,77
2018-08-01,S08000031,75plus,3371,109
2018-08-01,S08000032,18plus,5127,165
2018-08-01,S08000032,18-74,1552,50
2018-08-01,S08000032,75plus,3575,115
2018-08-01,S92000003,18plus,43672,1409
2018-08-01,S92000003,18-74,13771,444
2018-08-01,S92000003,75plus,29901,965
2018-09-01,S08000015,18plus,3597,120
2018-09-01,S08000015,18-74,684,23
2018-09-01,S08000015,75plus,2913,97
2018-09-01,S08000016,18plus,1080,36
2018-09-01,S08000016,18-74,284,9
2018-09-01,S08000016,75plus,796,27
2018-09-01,S08000017,18plus,1216,41
2018-09-01,S08000017,18-74,508,17
2018-09-01,S08000017,75plus,708,24
2018-09-01,S08000019,18plus,2768,92
2018-09-01,S08000019,18-74,514,17
2018-09-01,S08000019,75plus,2254,75
2018-09-01,S08000020,18plus,4023,134
2018-09-01,S08000020,18-74,960,32
2018-09-01,S08000020,75plus,3063,102
2018-09-01,S08000022,18plus,4215,141
2018-09-01,S08000022,18-74,1144,38
2018-09-01,S08000022,75plus,3071,102
2018-09-01,S08000024,18plus,11423,381
2018-09-01,S08000024,18-74,3266,109
2018-09-01,S08000024,75plus,8157,272
2018-09-01,S08000025,18plus,21,1
2018-09-01,S08000025,18-74,0,0
2018-09-01,S08000025,75plus,21,1
2018-09-01,S08000026,18plus,168,6
2018-09-01,S08000026,18-74,24,1
2018-09-01,S08000026,75plus,144,5
2018-09-01,S08000028,18plus,635,21
2018-09-01,S08000028,18-74,158,5
2018-09-01,S08000028,75plus,477,16
2018-09-01,S08000029,18plus,2349,78
2018-09-01,S08000029,18-74,1022,34
2018-09-01,S08000029,75plus,1327,44
2018-09-01,S08000030,18plus,2571,86
2018-09-01,S08000030,18-74,1128,38
2018-09-01,S08000030,75plus,1443,48
2018-09-01,S08000031,18plus,5684,189
2018-09-01,S08000031,18-74,2479,83
2018-09-01,S08000031,75plus,3205,107
2018-09-01,S08000032,18plus,5720,191
2018-09-01,S08000032,18-74,1569,52
2018-09-01,S08000032,75plus,4151,138
2018-09-01,S92000003,18plus,45470,1516
2018-09-01,S92000003,18-74,13740,458
2018-09-01,S92000003,75plus,31730,1058
2018-10-01,S08000015,18plus,3883,125
2018-10-01,S08000015,18-74,855,28
2018-10-01,S08000015,75plus,3028,98
2018-10-01,S08000016,18plus,890,29
2018-10-01,S08000016,18-74,205,7
2018-10-01,S08000016,75plus,685,22
2018-10-01,S08000017,18plus,1565,50
2018-10-01,S08000017,18-74,542,17
2018-10-01,S08000017,75plus,1023,33
2018-10-01,S08000019,18plus,2851,92
2018-10-01,S08000019,18-74,550,18
2018-10-01,S08000019,75plus,2301,74
2018-10-01,S08000020,18plus,3814,123
2018-10-01,S08000020,18-74,926,30
2018-10-01,S08000020,75plus,2888,93
2018-10-01,S08000022,18plus,4226,136
2018-10-01,S08000022,18-74,1377,44
2018-10-01,S08000022,75plus,2849,92
2018-10-01,S08000024,18plus,11855,382
2018-10-01,S08000024,18-74,3418,110
2018-10-01,S08000024,75plus,8437,272
2018-10-01,S08000025,18plus,19,1
2018-10-01,S08000025,18-74,19,1
2018-10-01,S08000025,75plus,0,0
2018-10-01,S08000026,18plus,88,3
2018-10-01,S08000026,18-74,20,1
2018-10-01,S08000026,75plus,68,2
2018-10-01,S08000028,18plus,727,23
2018-10-01,S08000028,18-74,169,5
2018-10-01,S08000028,75plus,558,18
2018-10-01,S08000029,18plus,2699,87
2018-10-01,S08000029,18-74,1065,34
2018-10-01,S08000029,75plus,1634,53
2018-10-01,S08000030,18plus,2611,84
2018-10-01,S08000030,18-74,1051,34
2018-10-01,S08000030,75plus,1560,50
2018-10-01,S08000031,18plus,5899,190
2018-10-01,S08000031,18-74,2547,82
2018-10-01,S08000031,75plus,3352,108
2018-10-01,S08000032,18plus,6175,199
2018-10-01,S08000032,18-74,1728,56
2018-10-01,S08000032,75plus,4447,143
2018-10-01,S92000003,18plus,47302,1526
2018-10-01,S92000003,18-74,14472,467
2018-10-01,S92000003,75plus,32830,1059
2018-11-01,S08000015,18plus,4100,137
2018-11-01,S08000015,18-74,885,30
2018-11-01,S08000015,75plus,3215,107
2018-11-01,S08000016,18plus,1401,47
2018-11-01,S08000016,18-74,271,9
2018-11-01,S08000016,75plus,1130,38
2018-11-01,S08000017,18plus,1283,43
2018-11-01,S08000017,18-74,448,15
2018-11-01,S08000017,75plus,835,28
2018-11-01,S08000019,18plus,2595,87
2018-11-01,S08000019,18-74,535,18
2018-11-01,S08000019,75plus,2060,69
2018-11-01,S08000020,18plus,3536,118
2018-11-01,S08000020,18-74,816,27
2018-11-01,S08000020,75plus,2720,91
2018-11-01,S08000022,18plus,3713,124
2018-11-01,S08000022,18-74,993,33
2018-11-01,S08000022,75plus,2720,91
2018-11-01,S08000024,18plus,10077,336
2018-11-01,S08000024,18-74,3235,108
2018-11-01,S08000024,75plus,6842,228
2018-11-01,S08000025,18plus,35,1
2018-11-01,S08000025,18-74,30,1
2018-11-01,S08000025,75plus,5,0
2018-11-01,S08000026,18plus,82,3
2018-11-01,S08000026,18-74,13,0
2018-11-01,S08000026,75plus,69,2
2018-11-01,S08000028,18plus,648,22
2018-11-01,S08000028,18-74,151,5
2018-11-01,S08000028,75plus,497,17
2018-11-01,S08000029,18plus,2873,96
2018-11-01,S08000029,18-74,1088,36
2018-11-01,S08000029,75plus,1785,60
2018-11-01,S08000030,18plus,2659,89
2018-11-01,S08000030,18-74,975,33
2018-11-01,S08000030,75plus,1684,56
2018-11-01,S08000031,18plus,5161,172
2018-11-01,S08000031,18-74,2405,80
2018-11-01,S08000031,75plus,2756,92
2018-11-01,S08000032,18plus,5755,192
2018-11-01,S08000032,18-74,1559,52
2018-11-01,S08000032,75plus,4196,140
2018-11-01,S92000003,18plus,43918,1464
2018-11-01,S92000003,18-74,13404,447
2018-11-01,S92000003,75plus,30514,1017
2018-12-01,S08000015,18plus,3862,125
2018-12-01,S08000015,18-74,816,26
2018-12-01,S08000015,75plus,3046,98
2018-12-01,S08000016,18plus,1122,36
2018-12-01,S08000016,18-74,238,8
2018-12-01,S08000016,75plus,884,29
2018-12-01,S08000017,18plus,1598,52
2018-12-01,S08000017,18-74,469,15
2018-12-01,S08000017,75plus,1129,36
2018-12-01,S08000019,18plus,2738,88
2018-12-01,S08000019,18-74,732,24
2018-12-01,S08000019,75plus,2006,65
2018-12-01,S08000020,18plus,3857,124
2018-12-01,S08000020,18-74,879,28
2018-12-01,S08000020,75plus,2978,96
2018-12-01,S08000022,18plus,3632,117
2018-12-01,S08000022,18-74,864,28
2018-12-01,S08000022,75plus,2768,89
2018-12-01,S08000024,18plus,8509,274
2018-12-01,S08000024,18-74,2507,81
2018-12-01,S08000024,75plus,6002,194
2018-12-01,S08000025,18plus,42,1
2018-12-01,S08000025,18-74,6,0
2018-12-01,S08000025,75plus,36,1
2018-12-01,S08000026,18plus,159,5
2018-12-01,S08000026,18-74,42,1
2018-12-01,S08000026,75plus,117,4
2018-12-01,S08000028,18plus,691,22
2018-12-01,S08000028,18-74,211,7
2018-12-01,S08000028,75plus,480,15
